model,rep,item_id,noun,det,construction,item_type,rating
claude,1,fd05,NA,NA,NA,filler_degraded,4
claude,1,fd06,NA,NA,NA,filler_degraded,2
claude,1,fd07,NA,NA,NA,filler_degraded,2
claude,1,fd08,NA,NA,NA,filler_degraded,1
claude,1,fd09,NA,NA,NA,filler_degraded,3
claude,1,fd10,NA,NA,NA,filler_degraded,2
claude,1,fd11,NA,NA,NA,filler_degraded,3
claude,1,fd12,NA,NA,NA,filler_degraded,4
claude,1,fu01,NA,NA,NA,filler_ungram,1
claude,1,fu02,NA,NA,NA,filler_ungram,1
claude,1,fu03,NA,NA,NA,filler_ungram,1
claude,1,fu04,NA,NA,NA,filler_ungram,1
claude,1,fu05,NA,NA,NA,filler_ungram,1
claude,1,fu06,NA,NA,NA,filler_ungram,1
claude,1,fu07,NA,NA,NA,filler_ungram,1
claude,1,fu08,NA,NA,NA,filler_ungram,1
claude,1,fu09,NA,NA,NA,filler_ungram,1
claude,1,fu10,NA,NA,NA,filler_ungram,1
claude,1,fu11,NA,NA,NA,filler_ungram,1
claude,1,fu12,NA,NA,NA,filler_ungram,1
claude,2,c001,people,three,existential,critical,7
claude,2,c002,people,three,agentive,critical,7
claude,2,c003,people,three,existential,critical,7
claude,2,c004,people,three,agentive,critical,7
claude,2,c005,people,three,existential,critical,7
claude,2,c006,people,three,agentive,critical,7
claude,2,c007,people,three,existential,critical,7
claude,2,c008,people,three,agentive,critical,7
claude,2,c009,people,three,existential,critical,7
claude,2,c010,people,three,agentive,critical,7
claude,2,c011,people,three,existential,critical,7
claude,2,c012,people,three,agentive,critical,7
claude,2,c013,people,three,existential,critical,7
claude,2,c014,people,three,agentive,critical,7
claude,2,c015,people,three,existential,critical,7
claude,2,c016,people,three,agentive,critical,7
claude,2,c017,people,three,existential,critical,7
claude,2,c018,people,three,agentive,critical,7
claude,2,c019,people,three,existential,critical,7
claude,2,c020,people,three,agentive,critical,7
claude,2,c021,people,three,existential,critical,7
claude,2,c022,people,three,agentive,critical,7
claude,2,c023,people,three,existential,critical,7
claude,2,c024,people,three,agentive,critical,7
claude,2,c025,people,three,existential,critical,7
claude,2,c026,people,three,agentive,critical,7
claude,2,c027,people,three,existential,critical,7
claude,2,c028,people,three,agentive,critical,7
claude,2,c029,people,three,existential,critical,7
claude,2,c030,people,three,agentive,critical,7
claude,2,c031,people,three,existential,critical,7
claude,2,c032,people,three,agentive,critical,7
claude,2,c033,people,several,existential,critical,7
claude,2,c034,people,several,agentive,critical,7
claude,2,c035,people,several,existential,critical,7
claude,2,c036,people,several,agentive,critical,7
claude,2,c037,people,several,existential,critical,7
claude,2,c038,people,several,agentive,critical,7
claude,2,c039,people,several,existential,critical,7
claude,2,c040,people,several,agentive,critical,7
claude,2,c041,people,several,existential,critical,7
claude,2,c042,people,several,agentive,critical,7
claude,2,c043,people,several,existential,critical,7
claude,2,c044,people,several,agentive,critical,7
claude,2,c045,people,several,existential,critical,7
claude,2,c046,people,several,agentive,critical,7
claude,2,c047,people,several,existential,critical,7
claude,2,c048,people,several,agentive,critical,7
claude,2,c049,people,several,existential,critical,7
claude,2,c050,people,several,agentive,critical,7
claude,2,c051,people,several,existential,critical,7
claude,2,c052,people,several,agentive,critical,7
claude,2,c053,people,several,existential,critical,7
claude,2,c054,people,several,agentive,critical,7
claude,2,c055,people,several,existential,critical,7
claude,2,c056,people,several,agentive,critical,7
claude,2,c057,people,several,existential,critical,7
claude,2,c058,people,several,agentive,critical,7
claude,2,c059,people,several,existential,critical,7
claude,2,c060,people,several,agentive,critical,7
claude,2,c061,people,several,existential,critical,7
claude,2,c062,people,several,agentive,critical,7
claude,2,c063,people,several,existential,critical,7
claude,2,c064,people,several,agentive,critical,7
claude,2,c065,folks,three,existential,critical,5
claude,2,c066,folks,three,agentive,critical,5
claude,2,c067,folks,three,existential,critical,5
claude,2,c068,folks,three,agentive,critical,5
claude,2,c069,folks,three,existential,critical,5
claude,2,c070,folks,three,agentive,critical,5
claude,2,c071,folks,three,existential,critical,5
claude,2,c072,folks,three,agentive,critical,5
claude,2,c073,folks,three,existential,critical,5
claude,2,c074,folks,three,agentive,critical,5
claude,2,c075,folks,three,existential,critical,5
claude,2,c076,folks,three,agentive,critical,5
claude,2,c077,folks,three,existential,critical,5
claude,2,c078,folks,three,agentive,critical,5
claude,2,c079,folks,three,existential,critical,5
claude,2,c080,folks,three,agentive,critical,5
claude,2,c081,folks,three,existential,critical,5
claude,2,c082,folks,three,agentive,critical,5
claude,2,c083,folks,three,existential,critical,4
claude,2,c084,folks,three,agentive,critical,4
claude,2,c085,folks,three,existential,critical,5
claude,2,c086,folks,three,agentive,critical,5
claude,2,c087,folks,three,existential,critical,5
claude,2,c088,folks,three,agentive,critical,5
claude,2,c089,folks,three,existential,critical,5
claude,2,c090,folks,three,agentive,critical,5
claude,2,c091,folks,three,existential,critical,5
claude,2,c092,folks,three,agentive,critical,5
claude,2,c093,folks,three,existential,critical,5
claude,2,c094,folks,three,agentive,critical,5
claude,2,c095,folks,three,existential,critical,5
claude,2,c096,folks,three,agentive,critical,5
claude,2,c097,folks,several,existential,critical,6
claude,2,c098,folks,several,agentive,critical,6
claude,2,c099,folks,several,existential,critical,6
claude,2,c100,folks,several,agentive,critical,6
claude,2,c101,folks,several,existential,critical,6
claude,2,c102,folks,several,agentive,critical,6
claude,2,c103,folks,several,existential,critical,6
claude,2,c104,folks,several,agentive,critical,6
claude,2,c105,folks,several,existential,critical,6
claude,2,c106,folks,several,agentive,critical,6
claude,2,c107,folks,several,existential,critical,6
claude,2,c108,folks,several,agentive,critical,6
claude,2,c109,folks,several,existential,critical,6
claude,2,c110,folks,several,agentive,critical,6
claude,2,c111,folks,several,existential,critical,6
claude,2,c112,folks,several,agentive,critical,6
claude,2,c113,folks,several,existential,critical,6
claude,2,c114,folks,several,agentive,critical,6
claude,2,c115,folks,several,existential,critical,6
claude,2,c116,folks,several,agentive,critical,6
claude,2,c117,folks,several,existential,critical,6
claude,2,c118,folks,several,agentive,critical,6
claude,2,c119,folks,several,existential,critical,6
claude,2,c120,folks,several,agentive,critical,6
claude,2,c121,folks,several,existential,critical,6
claude,2,c122,folks,several,agentive,critical,6
claude,2,c123,folks,several,existential,critical,6
claude,2,c124,folks,several,agentive,critical,6
claude,2,c125,folks,several,existential,critical,6
claude,2,c126,folks,several,agentive,critical,6
claude,2,c127,folks,several,existential,critical,6
claude,2,c128,folks,several,agentive,critical,6
claude,2,fg01,NA,NA,NA,filler_good,7
claude,2,fg02,NA,NA,NA,filler_good,7
claude,2,fg03,NA,NA,NA,filler_good,7
claude,2,fg04,NA,NA,NA,filler_good,7
claude,2,fg05,NA,NA,NA,filler_good,7
claude,2,fg06,NA,NA,NA,filler_good,7
claude,2,fg07,NA,NA,NA,filler_good,7
claude,2,fg08,NA,NA,NA,filler_good,7
claude,2,fg09,NA,NA,NA,filler_good,7
claude,2,fg10,NA,NA,NA,filler_good,7
claude,2,fg11,NA,NA,NA,filler_good,7
claude,2,fg12,NA,NA,NA,filler_good,7
claude,2,fm01,NA,NA,NA,filler_mild,3
claude,2,fm02,NA,NA,NA,filler_mild,3
claude,2,fm03,NA,NA,NA,filler_mild,4
claude,2,fm04,NA,NA,NA,filler_mild,4
claude,2,fm05,NA,NA,NA,filler_mild,3
claude,2,fm06,NA,NA,NA,filler_mild,3
claude,2,fm07,NA,NA,NA,filler_mild,7
claude,2,fm08,NA,NA,NA,filler_mild,7
claude,2,fm09,NA,NA,NA,filler_mild,7
claude,2,fm10,NA,NA,NA,filler_mild,6
claude,2,fm11,NA,NA,NA,filler_mild,7
claude,2,fm12,NA,NA,NA,filler_mild,6
claude,2,fd01,NA,NA,NA,filler_degraded,3
claude,2,fd02,NA,NA,NA,filler_degraded,2
claude,2,fd03,NA,NA,NA,filler_degraded,2
claude,2,fd04,NA,NA,NA,filler_degraded,1
claude,2,fd05,NA,NA,NA,filler_degraded,3
claude,2,fd06,NA,NA,NA,filler_degraded,2
claude,2,fd07,NA,NA,NA,filler_degraded,2
claude,2,fd08,NA,NA,NA,filler_degraded,1
claude,2,fd09,NA,NA,NA,filler_degraded,3
claude,2,fd10,NA,NA,NA,filler_degraded,2
claude,2,fd11,NA,NA,NA,filler_degraded,3
claude,2,fd12,NA,NA,NA,filler_degraded,3
claude,2,fu01,NA,NA,NA,filler_ungram,1
claude,2,fu02,NA,NA,NA,filler_ungram,1
claude,2,fu03,NA,NA,NA,filler_ungram,1
claude,2,fu04,NA,NA,NA,filler_ungram,1
claude,2,fu05,NA,NA,NA,filler_ungram,1
claude,2,fu06,NA,NA,NA,filler_ungram,1
claude,2,fu07,NA,NA,NA,filler_ungram,1
claude,2,fu08,NA,NA,NA,filler_ungram,1
claude,2,fu09,NA,NA,NA,filler_ungram,1
claude,2,fu10,NA,NA,NA,filler_ungram,1
claude,2,fu11,NA,NA,NA,filler_ungram,1
claude,2,fu12,NA,NA,NA,filler_ungram,1
claude,3,c001,people,three,existential,critical,7
claude,3,c002,people,three,agentive,critical,7
claude,3,c003,people,three,existential,critical,7
claude,3,c004,people,three,agentive,critical,7
claude,3,c005,people,three,existential,critical,7
claude,3,c006,people,three,agentive,critical,7
claude,3,c007,people,three,existential,critical,7
claude,3,c008,people,three,agentive,critical,7
claude,3,c009,people,three,existential,critical,7
claude,3,c010,people,three,agentive,critical,7
claude,3,c011,people,three,existential,critical,7
claude,3,c012,people,three,agentive,critical,7
claude,3,c013,people,three,existential,critical,7
claude,3,c014,people,three,agentive,critical,7
claude,3,c015,people,three,existential,critical,7
claude,3,c016,people,three,agentive,critical,7
claude,3,c017,people,three,existential,critical,7
claude,3,c018,people,three,agentive,critical,7
claude,3,c019,people,three,existential,critical,7
claude,3,c020,people,three,agentive,critical,7
claude,3,c021,people,three,existential,critical,7
claude,3,c022,people,three,agentive,critical,7
claude,3,c023,people,three,existential,critical,7
claude,3,c024,people,three,agentive,critical,7
claude,3,c025,people,three,existential,critical,7
claude,3,c026,people,three,agentive,critical,7
claude,3,c027,people,three,existential,critical,7
claude,3,c028,people,three,agentive,critical,7
claude,3,c029,people,three,existential,critical,7
claude,3,c030,people,three,agentive,critical,7
claude,3,c031,people,three,existential,critical,7
claude,3,c032,people,three,agentive,critical,7
claude,3,c033,people,several,existential,critical,7
claude,3,c034,people,several,agentive,critical,7
claude,3,c035,people,several,existential,critical,7
claude,3,c036,people,several,agentive,critical,7
claude,3,c037,people,several,existential,critical,7
claude,3,c038,people,several,agentive,critical,7
claude,3,c039,people,several,existential,critical,7
claude,3,c040,people,several,agentive,critical,7
claude,3,c041,people,several,existential,critical,7
claude,3,c042,people,several,agentive,critical,7
claude,3,c043,people,several,existential,critical,7
claude,3,c044,people,several,agentive,critical,7
claude,3,c045,people,several,existential,critical,7
claude,3,c046,people,several,agentive,critical,7
claude,3,c047,people,several,existential,critical,7
claude,3,c048,people,several,agentive,critical,7
claude,3,c049,people,several,existential,critical,7
claude,3,c050,people,several,agentive,critical,7
claude,3,c051,people,several,existential,critical,7
claude,3,c052,people,several,agentive,critical,7
claude,3,c053,people,several,existential,critical,7
claude,3,c054,people,several,agentive,critical,7
claude,3,c055,people,several,existential,critical,7
claude,3,c056,people,several,agentive,critical,7
claude,3,c057,people,several,existential,critical,7
claude,3,c058,people,several,agentive,critical,7
claude,3,c059,people,several,existential,critical,7
claude,3,c060,people,several,agentive,critical,7
claude,3,c061,people,several,existential,critical,7
claude,3,c062,people,several,agentive,critical,7
claude,3,c063,people,several,existential,critical,7
claude,3,c064,people,several,agentive,critical,7
claude,3,c065,folks,three,existential,critical,5
claude,3,c066,folks,three,agentive,critical,5
claude,3,c067,folks,three,existential,critical,5
claude,3,c068,folks,three,agentive,critical,5
claude,3,c069,folks,three,existential,critical,5
claude,3,c070,folks,three,agentive,critical,5
claude,3,c071,folks,three,existential,critical,5
claude,3,c072,folks,three,agentive,critical,5
claude,3,c073,folks,three,existential,critical,5
claude,3,c074,folks,three,agentive,critical,5
claude,3,c075,folks,three,existential,critical,5
claude,3,c076,folks,three,agentive,critical,5
claude,3,c077,folks,three,existential,critical,5
claude,3,c078,folks,three,agentive,critical,5
claude,3,c079,folks,three,existential,critical,5
claude,3,c080,folks,three,agentive,critical,5
claude,3,c081,folks,three,existential,critical,5
claude,3,c082,folks,three,agentive,critical,5
claude,3,c083,folks,three,existential,critical,4
claude,3,c084,folks,three,agentive,critical,4
claude,3,c085,folks,three,existential,critical,5
claude,3,c086,folks,three,agentive,critical,5
claude,3,c087,folks,three,existential,critical,5
claude,3,c088,folks,three,agentive,critical,5
claude,3,c089,folks,three,existential,critical,5
claude,3,c090,folks,three,agentive,critical,5
claude,3,c091,folks,three,existential,critical,5
claude,3,c092,folks,three,agentive,critical,5
claude,3,c093,folks,three,existential,critical,5
claude,3,c094,folks,three,agentive,critical,5
claude,3,c095,folks,three,existential,critical,5
claude,3,c096,folks,three,agentive,critical,5
claude,3,c097,folks,several,existential,critical,6
claude,3,c098,folks,several,agentive,critical,6
claude,3,c099,folks,several,existential,critical,6
claude,3,c100,folks,several,agentive,critical,6
claude,3,c101,folks,several,existential,critical,6
claude,3,c102,folks,several,agentive,critical,6
claude,3,c103,folks,several,existential,critical,6
claude,3,c104,folks,several,agentive,critical,6
claude,3,c105,folks,several,existential,critical,6
claude,3,c106,folks,several,agentive,critical,6
claude,3,c107,folks,several,existential,critical,6
claude,3,c108,folks,several,agentive,critical,6
claude,3,c109,folks,several,existential,critical,6
claude,3,c110,folks,several,agentive,critical,6
claude,3,c111,folks,several,existential,critical,6
claude,3,c112,folks,several,agentive,critical,6
claude,3,c113,folks,several,existential,critical,6
claude,3,c114,folks,several,agentive,critical,6
claude,3,c115,folks,several,existential,critical,6
claude,3,c116,folks,several,agentive,critical,6
claude,3,c117,folks,several,existential,critical,6
claude,3,c118,folks,several,agentive,critical,6
claude,3,c119,folks,several,existential,critical,6
claude,3,c120,folks,several,agentive,critical,6
claude,3,c121,folks,several,existential,critical,6
claude,3,c122,folks,several,agentive,critical,6
claude,3,c123,folks,several,existential,critical,6
claude,3,c124,folks,several,agentive,critical,6
claude,3,c125,folks,several,existential,critical,6
claude,3,c126,folks,several,agentive,critical,6
claude,3,c127,folks,several,existential,critical,6
claude,3,c128,folks,several,agentive,critical,6
claude,3,fg01,NA,NA,NA,filler_good,7
claude,3,fg02,NA,NA,NA,filler_good,7
claude,3,fg03,NA,NA,NA,filler_good,7
claude,3,fg04,NA,NA,NA,filler_good,7
claude,3,fg05,NA,NA,NA,filler_good,7
claude,3,fg06,NA,NA,NA,filler_good,7
claude,3,fg07,NA,NA,NA,filler_good,7
claude,3,fg08,NA,NA,NA,filler_good,7
claude,3,fg09,NA,NA,NA,filler_good,7
claude,3,fg10,NA,NA,NA,filler_good,7
claude,3,fg11,NA,NA,NA,filler_good,7
claude,3,fg12,NA,NA,NA,filler_good,7
claude,3,fm01,NA,NA,NA,filler_mild,3
claude,3,fm02,NA,NA,NA,filler_mild,3
claude,3,fm03,NA,NA,NA,filler_mild,4
claude,3,fm04,NA,NA,NA,filler_mild,4
claude,3,fm05,NA,NA,NA,filler_mild,3
claude,3,fm06,NA,NA,NA,filler_mild,3
claude,3,fm07,NA,NA,NA,filler_mild,7
claude,3,fm08,NA,NA,NA,filler_mild,7
claude,3,fm09,NA,NA,NA,filler_mild,7
claude,3,fm10,NA,NA,NA,filler_mild,6
claude,3,fm11,NA,NA,NA,filler_mild,7
claude,3,fm12,NA,NA,NA,filler_mild,6
claude,3,fd01,NA,NA,NA,filler_degraded,3
claude,3,fd02,NA,NA,NA,filler_degraded,2
claude,3,fd03,NA,NA,NA,filler_degraded,2
claude,3,fd04,NA,NA,NA,filler_degraded,1
claude,3,fd05,NA,NA,NA,filler_degraded,3
claude,3,fd06,NA,NA,NA,filler_degraded,2
claude,3,fd07,NA,NA,NA,filler_degraded,2
claude,3,fd08,NA,NA,NA,filler_degraded,1
claude,3,fd09,NA,NA,NA,filler_degraded,3
claude,3,fd10,NA,NA,NA,filler_degraded,2
claude,3,fd11,NA,NA,NA,filler_degraded,3
claude,3,fd12,NA,NA,NA,filler_degraded,3
claude,3,fu01,NA,NA,NA,filler_ungram,1
claude,3,fu02,NA,NA,NA,filler_ungram,1
claude,3,fu03,NA,NA,NA,filler_ungram,1
claude,3,fu04,NA,NA,NA,filler_ungram,1
claude,3,fu05,NA,NA,NA,filler_ungram,1
claude,3,fu06,NA,NA,NA,filler_ungram,1
claude,3,fu07,NA,NA,NA,filler_ungram,1
claude,3,fu08,NA,NA,NA,filler_ungram,1
claude,3,fu09,NA,NA,NA,filler_ungram,1
claude,3,fu10,NA,NA,NA,filler_ungram,1
claude,3,fu11,NA,NA,NA,filler_ungram,1
claude,3,fu12,NA,NA,NA,filler_ungram,1
claude,4,c001,people,three,existential,critical,7
claude,4,c002,people,three,agentive,critical,7
claude,4,c003,people,three,existential,critical,7
claude,4,c004,people,three,agentive,critical,7
claude,4,c005,people,three,existential,critical,7
claude,4,c006,people,three,agentive,critical,7
claude,4,c007,people,three,existential,critical,7
claude,4,c008,people,three,agentive,critical,7
claude,4,c009,people,three,existential,critical,7
claude,4,c010,people,three,agentive,critical,7
claude,4,c011,people,three,existential,critical,7
claude,4,c012,people,three,agentive,critical,7
claude,4,c013,people,three,existential,critical,7
claude,4,c014,people,three,agentive,critical,7
claude,4,c015,people,three,existential,critical,7
claude,4,c016,people,three,agentive,critical,7
claude,4,c017,people,three,existential,critical,7
claude,4,c018,people,three,agentive,critical,7
claude,4,c019,people,three,existential,critical,7
claude,4,c020,people,three,agentive,critical,7
claude,4,c021,people,three,existential,critical,7
claude,4,c022,people,three,agentive,critical,7
claude,4,c023,people,three,existential,critical,7
claude,4,c024,people,three,agentive,critical,7
claude,4,c025,people,three,existential,critical,7
claude,4,c026,people,three,agentive,critical,7
claude,4,c027,people,three,existential,critical,7
claude,4,c028,people,three,agentive,critical,7
claude,4,c029,people,three,existential,critical,7
claude,4,c030,people,three,agentive,critical,7
claude,4,c031,people,three,existential,critical,7
claude,4,c032,people,three,agentive,critical,7
claude,4,c033,people,several,existential,critical,7
claude,4,c034,people,several,agentive,critical,7
claude,4,c035,people,several,existential,critical,7
claude,4,c036,people,several,agentive,critical,7
claude,4,c037,people,several,existential,critical,7
claude,4,c038,people,several,agentive,critical,7
claude,4,c039,people,several,existential,critical,7
claude,4,c040,people,several,agentive,critical,7
claude,4,c041,people,several,existential,critical,7
claude,4,c042,people,several,agentive,critical,7
claude,4,c043,people,several,existential,critical,7
claude,4,c044,people,several,agentive,critical,7
claude,4,c045,people,several,existential,critical,7
claude,4,c046,people,several,agentive,critical,7
claude,4,c047,people,several,existential,critical,7
claude,4,c048,people,several,agentive,critical,7
claude,4,c049,people,several,existential,critical,7
claude,4,c050,people,several,agentive,critical,7
claude,4,c051,people,several,existential,critical,7
claude,4,c052,people,several,agentive,critical,7
claude,4,c053,people,several,existential,critical,7
claude,4,c054,people,several,agentive,critical,7
claude,4,c055,people,several,existential,critical,7
claude,4,c056,people,several,agentive,critical,7
claude,4,c057,people,several,existential,critical,7
claude,4,c058,people,several,agentive,critical,7
claude,4,c059,people,several,existential,critical,7
claude,4,c060,people,several,agentive,critical,7
claude,4,c061,people,several,existential,critical,7
claude,4,c062,people,several,agentive,critical,7
claude,4,c063,people,several,existential,critical,7
claude,4,c064,people,several,agentive,critical,7
claude,4,c065,folks,three,existential,critical,5
claude,4,c066,folks,three,agentive,critical,5
claude,4,c067,folks,three,existential,critical,5
claude,4,c068,folks,three,agentive,critical,5
claude,4,c069,folks,three,existential,critical,5
claude,4,c070,folks,three,agentive,critical,5
claude,4,c071,folks,three,existential,critical,5
claude,4,c072,folks,three,agentive,critical,5
claude,4,c073,folks,three,existential,critical,5
claude,4,c074,folks,three,agentive,critical,5
claude,4,c075,folks,three,existential,critical,5
claude,4,c076,folks,three,agentive,critical,5
claude,4,c077,folks,three,existential,critical,5
claude,4,c078,folks,three,agentive,critical,5
claude,4,c079,folks,three,existential,critical,5
claude,4,c080,folks,three,agentive,critical,5
claude,4,c081,folks,three,existential,critical,5
claude,4,c082,folks,three,agentive,critical,5
claude,4,c083,folks,three,existential,critical,4
claude,4,c084,folks,three,agentive,critical,4
claude,4,c085,folks,three,existential,critical,5
claude,4,c086,folks,three,agentive,critical,5
claude,4,c087,folks,three,existential,critical,5
claude,4,c088,folks,three,agentive,critical,5
claude,4,c089,folks,three,existential,critical,5
claude,4,c090,folks,three,agentive,critical,5
claude,4,c091,folks,three,existential,critical,5
claude,4,c092,folks,three,agentive,critical,5
claude,4,c093,folks,three,existential,critical,5
claude,4,c094,folks,three,agentive,critical,5
claude,4,c095,folks,three,existential,critical,5
claude,4,c096,folks,three,agentive,critical,5
claude,4,c097,folks,several,existential,critical,6
claude,4,c098,folks,several,agentive,critical,6
claude,4,c099,folks,several,existential,critical,6
claude,4,c100,folks,several,agentive,critical,6
claude,4,c101,folks,several,existential,critical,6
